index,name,category,temporal_stat,description,source
147,mean_gradient_magnitude_std,Edge Features,フレーム平均,フレーム平均: Sobel勾配強度の標準偏差,OpenCV Canny/Sobel
148,mean_gradient_magnitude_max,Edge Features,フレーム平均,フレーム平均: Sobel勾配強度の最大値,OpenCV Canny/Sobel
149,mean_stat_R_mean,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの平均値,NumPy/SciPy stats
150,mean_stat_R_std,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの標準偏差,NumPy/SciPy stats
151,mean_stat_R_skew,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの歪度（分布の非対称性）,NumPy/SciPy stats
152,mean_stat_R_kurtosis,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの尖度（分布の尖り）,NumPy/SciPy stats
153,mean_stat_R_p10,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの10パーセンタイル,NumPy/SciPy stats
154,mean_stat_R_p90,Statistical Features,フレーム平均,フレーム平均: Rチャンネルの90パーセンタイル,NumPy/SciPy stats
155,mean_stat_G_mean,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの平均値,NumPy/SciPy stats
156,mean_stat_G_std,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの標準偏差,NumPy/SciPy stats
157,mean_stat_G_skew,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの歪度（分布の非対称性）,NumPy/SciPy stats
158,mean_stat_G_kurtosis,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの尖度（分布の尖り）,NumPy/SciPy stats
159,mean_stat_G_p10,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの10パーセンタイル,NumPy/SciPy stats
160,mean_stat_G_p90,Statistical Features,フレーム平均,フレーム平均: Gチャンネルの90パーセンタイル,NumPy/SciPy stats
161,mean_stat_B_mean,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの平均値,NumPy/SciPy stats
162,mean_stat_B_std,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの標準偏差,NumPy/SciPy stats
163,mean_stat_B_skew,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの歪度（分布の非対称性）,NumPy/SciPy stats
164,mean_stat_B_kurtosis,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの尖度（分布の尖り）,NumPy/SciPy stats
165,mean_stat_B_p10,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの10パーセンタイル,NumPy/SciPy stats
166,mean_stat_B_p90,Statistical Features,フレーム平均,フレーム平均: Bチャンネルの90パーセンタイル,NumPy/SciPy stats
167,mean_stat_gray_mean,Statistical Features,フレーム平均,フレーム平均: グレースケールの平均値,NumPy/SciPy stats
168,mean_stat_gray_std,Statistical Features,フレーム平均,フレーム平均: グレースケールの標準偏差,NumPy/SciPy stats
169,mean_stat_gray_skew,Statistical Features,フレーム平均,フレーム平均: グレースケールの歪度（分布の非対称性）,NumPy/SciPy stats
170,mean_stat_gray_kurtosis,Statistical Features,フレーム平均,フレーム平均: グレースケールの尖度（分布の尖り）,NumPy/SciPy stats
171,mean_fft_low_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 低周波成分の比率,NumPy FFT
172,mean_fft_mid_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 中周波成分の比率,NumPy FFT
173,mean_fft_high_freq_ratio,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: 高周波成分の比率,NumPy FFT
174,mean_fft_magnitude_mean,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: パワースペクトルの平均,NumPy FFT
175,mean_fft_magnitude_std,FFT Features,フレーム平均,フレーム平均: 2Dフーリエ変換: パワースペクトルの標準偏差,NumPy FFT
176,mean_spatial_centroid_x,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 重心X座標（正規化）,OpenCV moments
177,mean_spatial_centroid_y,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 重心Y座標（正規化）,OpenCV moments
178,mean_spatial_variance_x,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: X方向の分散（正規化）,OpenCV moments
179,mean_spatial_variance_y,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: Y方向の分散（正規化）,OpenCV moments
180,mean_spatial_spread,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 広がり（正規化）,OpenCV moments
181,mean_spatial_quadrant_TL,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 左上象限の分布比率,OpenCV moments
182,mean_spatial_quadrant_TR,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 右上象限の分布比率,OpenCV moments
183,mean_spatial_quadrant_BL,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 左下象限の分布比率,OpenCV moments
184,mean_spatial_quadrant_BR,Spatial Distribution,フレーム平均,フレーム平均: 空間分布: 右下象限の分布比率,OpenCV moments
185,std_color_hist_R_bin0,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
186,std_color_hist_R_bin1,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
187,std_color_hist_R_bin2,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
188,std_color_hist_R_bin3,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
189,std_color_hist_R_bin4,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
190,std_color_hist_R_bin5,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
191,std_color_hist_R_bin6,Color Histogram,フレーム標準偏差,フレーム標準偏差: Rチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
