filename,c1,c2,c3,alpha,cluster,PC1,PC2,PC3
Swarm-c1_1.00-c2_1.50-c3_3.00-alpha_2.50.gif,1.0,1.5,3.0,2.5,6,11.913713209346446,-6.742977967290805,0.5711868459320802
Swarm-c1_1.00-c2_1.50-c3_3.00-alpha_3.00.gif,1.0,1.5,3.0,3.0,6,7.240483279046134,-8.454936211493234,2.0293890743964353
Swarm-c1_1.00-c2_2.00-c3_1.00-alpha_1.00.gif,1.0,2.0,1.0,1.0,5,-7.4268796449559495,14.124275465057046,0.5979168552465111
Swarm-c1_1.00-c2_2.00-c3_1.00-alpha_1.50.gif,1.0,2.0,1.0,1.5,5,3.1616059812576207,9.81106990532439,-2.255296824880378
Swarm-c1_1.00-c2_2.00-c3_1.00-alpha_2.00.gif,1.0,2.0,1.0,2.0,4,11.64844250934735,3.5844593299900636,-5.965291584470742
Swarm-c1_1.00-c2_2.00-c3_1.00-alpha_2.50.gif,1.0,2.0,1.0,2.5,4,14.042299342312424,-1.3283194406577992,-3.6580334954053586
Swarm-c1_1.00-c2_2.00-c3_1.00-alpha_3.00.gif,1.0,2.0,1.0,3.0,6,9.986626296452666,-4.093256426440183,6.4113352488908575
Swarm-c1_1.00-c2_2.00-c3_1.50-alpha_1.00.gif,1.0,2.0,1.5,1.0,5,-2.5682733170540564,14.629973755336238,4.753264133275608
Swarm-c1_1.00-c2_2.00-c3_1.50-alpha_1.50.gif,1.0,2.0,1.5,1.5,4,20.929448046106756,9.708840134155121,-7.248676967996009
Swarm-c1_1.00-c2_2.00-c3_1.50-alpha_2.00.gif,1.0,2.0,1.5,2.0,4,18.36925638473634,4.462577751662747,-12.781402451686427
Swarm-c1_1.00-c2_2.00-c3_1.50-alpha_2.50.gif,1.0,2.0,1.5,2.5,7,19.22619671797934,-2.1865370433251536,-0.7554598460579606
Swarm-c1_1.00-c2_2.00-c3_1.50-alpha_3.00.gif,1.0,2.0,1.5,3.0,7,20.26173285173332,-8.36959082161051,2.986864157729166
Swarm-c1_1.00-c2_2.00-c3_2.00-alpha_1.00.gif,1.0,2.0,2.0,1.0,5,-5.700697753375733,15.370651389159763,-0.5718267576960214
Swarm-c1_1.00-c2_2.00-c3_2.00-alpha_1.50.gif,1.0,2.0,2.0,1.5,4,24.539787455085836,19.271229635649842,-3.0755053741065326
Swarm-c1_1.00-c2_2.00-c3_2.00-alpha_2.00.gif,1.0,2.0,2.0,2.0,4,24.202646881104066,4.1283336022774915,-7.337000219637656
Swarm-c1_1.00-c2_2.00-c3_2.00-alpha_2.50.gif,1.0,2.0,2.0,2.5,7,24.8057101154299,-3.8272447397090588,2.7978084091441926
Swarm-c1_1.00-c2_2.00-c3_2.00-alpha_3.00.gif,1.0,2.0,2.0,3.0,7,24.190888083629826,-8.781309347197345,10.011058514451152
Swarm-c1_1.00-c2_2.00-c3_2.50-alpha_1.00.gif,1.0,2.0,2.5,1.0,5,4.177034507445317,23.44867794082014,11.903978839118258
Swarm-c1_1.00-c2_2.00-c3_2.50-alpha_1.50.gif,1.0,2.0,2.5,1.5,5,5.96404590487734,13.886145938427184,1.8486132754404079
Swarm-c1_1.00-c2_2.00-c3_2.50-alpha_2.00.gif,1.0,2.0,2.5,2.0,4,22.035436479532148,2.4138479681190357,-16.08377431885001
Swarm-c1_1.00-c2_2.00-c3_2.50-alpha_2.50.gif,1.0,2.0,2.5,2.5,4,21.09574290092613,-2.4272996822525954,-3.5433367561059033
Swarm-c1_1.00-c2_2.00-c3_2.50-alpha_3.00.gif,1.0,2.0,2.5,3.0,7,23.228397928668915,-9.15468840520637,8.97543055714252
Swarm-c1_1.00-c2_2.00-c3_3.00-alpha_1.00.gif,1.0,2.0,3.0,1.0,5,2.916629565956696,21.234734213326977,2.28095166565891
Swarm-c1_1.00-c2_2.00-c3_3.00-alpha_1.50.gif,1.0,2.0,3.0,1.5,4,28.024030571865513,16.06552673479655,-9.240832489856897
Swarm-c1_1.00-c2_2.00-c3_3.00-alpha_2.00.gif,1.0,2.0,3.0,2.0,4,39.11112856748702,5.201777870280436,-3.553582606087027
Swarm-c1_1.00-c2_2.00-c3_3.00-alpha_2.50.gif,1.0,2.0,3.0,2.5,7,33.25567074430006,-2.0497052349487066,8.64607354015998
Swarm-c1_1.00-c2_2.00-c3_3.00-alpha_3.00.gif,1.0,2.0,3.0,3.0,7,26.085742863103317,-7.6761161918785,7.135424976021671
Swarm-c1_1.00-c2_2.50-c3_1.00-alpha_1.00.gif,1.0,2.5,1.0,1.0,0,-9.325823670442881,-0.1807448099126692,-2.066723454204246
Swarm-c1_1.00-c2_2.50-c3_1.00-alpha_1.50.gif,1.0,2.5,1.0,1.5,0,-10.119433681247239,-0.6625194946124312,-1.7633399793589228
Swarm-c1_1.00-c2_2.50-c3_1.00-alpha_2.00.gif,1.0,2.5,1.0,2.0,0,-8.838444484513404,-0.21016089233203333,-1.938756276122128
Swarm-c1_1.00-c2_2.50-c3_1.00-alpha_2.50.gif,1.0,2.5,1.0,2.5,0,-10.143564875801534,-1.216969902408696,-3.23751263872683
Swarm-c1_1.00-c2_2.50-c3_1.00-alpha_3.00.gif,1.0,2.5,1.0,3.0,0,-9.294000525488828,0.02748519419315814,-1.667182102865695
